,datapath,batch_size,embedding_dim,n_features,step,loss,tv_dist,aggregator,n_layers,n_heads,reduce_type,learn_adjacency,tie_embeddings,tie_aggregator
63,data/5,64,2,10,1200,0.4484658432006836,0.1040466908085118,mlp,1,1,sum,True,True,True
64,data/5,64,2,10,1250,0.44799166917800903,0.10492673092997375,mlp,1,1,sum,True,True,True
65,data/5,64,2,10,1300,0.44858193695545195,0.1040283425527699,mlp,1,1,sum,True,True,True
66,data/5,64,2,10,1350,0.44663026809692385,0.10476634395644087,mlp,1,1,sum,True,True,True
67,data/5,64,2,10,1400,0.4462044209241867,0.1049580200210648,mlp,1,1,sum,True,True,True
68,data/5,64,2,10,1450,0.4479654985666275,0.1044879588762953,mlp,1,1,sum,True,True,True
69,data/5,64,2,10,1500,0.4456201457977295,0.1043392418894799,mlp,1,1,sum,True,True,True
70,data/5,64,2,10,1550,0.4455553889274597,0.10431545545088859,mlp,1,1,sum,True,True,True
71,data/5,64,2,10,1600,0.44727307856082915,0.10428911629741136,mlp,1,1,sum,True,True,True
72,data/5,64,2,10,1650,0.447069553732872,0.10416502039749856,mlp,1,1,sum,True,True,True
73,data/5,64,2,10,1700,0.44665507137775423,0.10514404204982061,mlp,1,1,sum,True,True,True
74,data/5,64,2,10,1750,0.44429664075374603,0.10455988097300781,mlp,1,1,sum,True,True,True
75,data/5,64,2,10,1800,0.4461917579174042,0.10387449096675985,mlp,1,1,sum,True,True,True
76,data/5,64,2,10,1850,0.44686453402042386,0.10476024932261681,mlp,1,1,sum,True,True,True
77,data/5,64,2,10,1900,0.4468847495317459,0.1037237729624245,mlp,1,1,sum,True,True,True
78,data/5,64,2,10,1950,0.4453303062915802,0.1042735831693733,mlp,1,1,sum,True,True,True
79,data/5,64,2,10,2000,0.44572960793972016,0.1041863556592275,mlp,1,1,sum,True,True,True
