datapath,n_features,embedding_dim,aggregator,n_layers,n_heads,reduce_type,learn_adjacency,tie_embeddings,tie_aggregator,size_of_cpt,num_edges,max_parents,numparams
data/0,10,4,transformer,4,2,,,True,,62,9,3,540
data/0,10,4,transformer,4,4,,,True,,62,9,3,540
data/0,10,4,transformer,4,1,,,False,,62,9,3,648
data/0,10,4,transformer,4,2,,,False,,62,9,3,648
data/0,10,4,transformer,4,4,,,False,,62,9,3,648
data/0,10,4,mlp,1,1,mean,True,True,True,62,9,3,216
data/0,10,4,mlp,1,1,mean,True,True,False,62,9,3,216
data/0,10,4,mlp,1,1,mean,False,True,,62,9,3,116
data/0,10,4,mlp,1,1,sum,True,True,True,62,9,3,216
data/0,10,4,mlp,1,1,sum,True,True,False,62,9,3,216
data/0,10,4,mlp,1,1,sum,False,True,,62,9,3,116
data/0,10,4,mlp,1,2,mean,True,True,True,62,9,3,316
data/0,10,4,mlp,1,2,mean,True,True,False,62,9,3,316
data/0,10,4,mlp,1,2,sum,True,True,True,62,9,3,316
data/0,10,4,mlp,1,2,sum,True,True,False,62,9,3,316
data/0,10,4,mlp,1,4,mean,True,True,True,62,9,3,516
data/0,10,4,mlp,1,4,mean,True,True,False,62,9,3,516
data/0,10,4,mlp,1,4,sum,True,True,True,62,9,3,516
data/0,10,4,mlp,1,4,sum,True,True,False,62,9,3,516
data/0,10,4,mlp,1,1,mean,True,False,True,62,9,3,324
data/0,10,4,mlp,1,1,mean,True,False,False,62,9,3,324
data/0,10,4,mlp,1,1,mean,False,False,,62,9,3,224
data/0,10,4,mlp,1,1,sum,True,False,True,62,9,3,324
data/0,10,4,mlp,1,1,sum,True,False,False,62,9,3,324
data/0,10,4,mlp,1,1,sum,False,False,,62,9,3,224
data/0,10,4,mlp,1,2,mean,True,False,True,62,9,3,424
data/0,10,4,mlp,1,2,mean,True,False,False,62,9,3,424
data/0,10,4,mlp,1,2,sum,True,False,True,62,9,3,424
data/0,10,4,mlp,1,2,sum,True,False,False,62,9,3,424
data/0,10,4,mlp,1,4,mean,True,False,True,62,9,3,624
data/0,10,4,mlp,1,4,mean,True,False,False,62,9,3,624
data/0,10,4,mlp,1,4,sum,True,False,True,62,9,3,624
data/0,10,4,mlp,1,4,sum,True,False,False,62,9,3,624
data/0,10,4,mlp,2,1,mean,True,True,True,62,9,3,272
data/0,10,4,mlp,2,1,mean,True,True,False,62,9,3,372
data/0,10,4,mlp,2,1,mean,False,True,,62,9,3,172
data/0,10,4,mlp,2,1,sum,True,True,True,62,9,3,272
data/0,10,4,mlp,2,1,sum,True,True,False,62,9,3,372
data/0,10,4,mlp,2,1,sum,False,True,,62,9,3,172
data/0,10,4,mlp,2,2,mean,True,True,True,62,9,3,372
data/0,10,4,mlp,2,2,mean,True,True,False,62,9,3,572
data/0,10,4,mlp,2,2,sum,True,True,True,62,9,3,372
data/0,10,4,mlp,2,2,sum,True,True,False,62,9,3,572
data/0,10,4,mlp,2,4,mean,True,True,True,62,9,3,572
data/0,10,4,mlp,2,4,mean,True,True,False,62,9,3,972
data/0,10,4,mlp,2,4,sum,True,True,True,62,9,3,572
data/0,10,4,mlp,2,4,sum,True,True,False,62,9,3,972
data/0,10,4,mlp,2,1,mean,True,False,True,62,9,3,380
data/0,10,4,mlp,2,1,mean,True,False,False,62,9,3,480
data/0,10,4,mlp,2,1,mean,False,False,,62,9,3,280
data/0,10,4,mlp,2,1,sum,True,False,True,62,9,3,380
data/0,10,4,mlp,2,1,sum,True,False,False,62,9,3,480
data/0,10,4,mlp,2,1,sum,False,False,,62,9,3,280
data/0,10,4,mlp,2,2,mean,True,False,True,62,9,3,480
data/0,10,4,mlp,2,2,mean,True,False,False,62,9,3,680
data/0,10,4,mlp,2,2,sum,True,False,True,62,9,3,480
data/0,10,4,mlp,2,2,sum,True,False,False,62,9,3,680
data/0,10,4,mlp,2,4,mean,True,False,True,62,9,3,680
data/0,10,4,mlp,2,4,mean,True,False,False,62,9,3,1080
data/0,10,4,mlp,2,4,sum,True,False,True,62,9,3,680
data/0,10,4,mlp,2,4,sum,True,False,False,62,9,3,1080
data/0,10,4,mlp,4,1,mean,True,True,True,62,9,3,384
data/0,10,4,mlp,4,1,mean,True,True,False,62,9,3,684
data/0,10,4,mlp,4,1,mean,False,True,,62,9,3,284
data/0,10,4,mlp,4,1,sum,True,True,True,62,9,3,384
data/0,10,4,mlp,4,1,sum,True,True,False,62,9,3,684
data/0,10,4,mlp,4,1,sum,False,True,,62,9,3,284
data/0,10,4,mlp,4,2,mean,True,True,True,62,9,3,484
data/0,10,4,mlp,4,2,mean,True,True,False,62,9,3,1084
