datapath,n_features,embedding_dim,aggregator,n_layers,n_heads,i_in_context,size_of_cpt,num_edges,max_parents,numparams
data/3,25,2,transformer,1,2,True,334,43,3,336
data/3,25,2,transformer,1,2,False,334,43,3,336
data/3,25,2,transformer,2,1,True,334,43,3,372
data/3,25,2,transformer,2,1,False,334,43,3,372
data/3,25,2,transformer,2,2,True,334,43,3,372
data/3,25,2,transformer,2,2,False,334,43,3,372
data/3,25,2,transformer,4,1,True,334,43,3,444
data/3,25,2,transformer,4,1,False,334,43,3,444
data/3,25,2,transformer,4,2,True,334,43,3,444
data/3,25,2,transformer,4,2,False,334,43,3,444
data/3,25,4,transformer,1,1,True,334,43,3,720
data/3,25,4,transformer,1,1,False,334,43,3,720
data/3,25,4,transformer,1,2,True,334,43,3,720
data/3,25,4,transformer,1,2,False,334,43,3,720
data/3,25,4,transformer,1,4,True,334,43,3,720
data/3,25,4,transformer,1,4,False,334,43,3,720
data/3,25,4,transformer,2,1,True,334,43,3,840
data/3,25,4,transformer,2,1,False,334,43,3,840
data/3,25,4,transformer,2,2,True,334,43,3,840
data/3,25,4,transformer,2,2,False,334,43,3,840
data/3,25,4,transformer,2,4,True,334,43,3,840
data/3,25,4,transformer,2,4,False,334,43,3,840
data/3,25,4,transformer,4,1,True,334,43,3,1080
data/3,25,4,transformer,4,1,False,334,43,3,1080
data/3,25,4,transformer,4,2,True,334,43,3,1080
data/3,25,4,transformer,4,2,False,334,43,3,1080
data/3,25,4,transformer,4,4,True,334,43,3,1080
data/3,25,4,transformer,4,4,False,334,43,3,1080
data/3,25,16,transformer,1,1,True,334,43,3,4032
data/3,25,16,transformer,1,1,False,334,43,3,4032
data/3,25,16,transformer,1,2,True,334,43,3,4032
data/3,25,16,transformer,1,2,False,334,43,3,4032
data/3,25,16,transformer,1,4,True,334,43,3,4032
data/3,25,16,transformer,1,4,False,334,43,3,4032
data/3,25,16,transformer,2,1,True,334,43,3,5664
data/3,25,16,transformer,2,1,False,334,43,3,5664
data/3,25,16,transformer,2,2,True,334,43,3,5664
data/3,25,16,transformer,2,2,False,334,43,3,5664
data/3,25,16,transformer,2,4,True,334,43,3,5664
data/3,25,16,transformer,2,4,False,334,43,3,5664
